Linux 4.10.0-28-generic (huieric-Lenovo-G40-45) 	2018年03月04日 	_i686_	(4 CPU)

18时12分57秒   UID       PID    %usr %system  %guest    %CPU   CPU  Command
18时12分57秒     0         1    0.00    0.00    0.00    0.00     0  systemd
18时12分57秒     0         2    0.00    0.00    0.00    0.00     1  kthreadd
18时12分57秒     0         6    0.00    0.00    0.00    0.00     0  ksoftirqd/0
18时12分57秒     0         7    0.00    0.03    0.00    0.03     0  rcu_sched
18时12分57秒     0         9    0.00    0.00    0.00    0.00     0  migration/0
18时12分57秒     0        11    0.00    0.00    0.00    0.00     0  watchdog/0
18时12分57秒     0        14    0.00    0.00    0.00    0.00     1  watchdog/1
18时12分57秒     0        15    0.00    0.00    0.00    0.00     1  migration/1
18时12分57秒     0        16    0.00    0.00    0.00    0.00     1  ksoftirqd/1
18时12分57秒     0        20    0.00    0.00    0.00    0.00     2  watchdog/2
18时12分57秒     0        21    0.00    0.00    0.00    0.00     2  migration/2
18时12分57秒     0        22    0.00    0.00    0.00    0.00     2  ksoftirqd/2
18时12分57秒     0        26    0.00    0.00    0.00    0.00     3  watchdog/3
18时12分57秒     0        27    0.00    0.00    0.00    0.00     3  migration/3
18时12分57秒     0        28    0.00    0.00    0.00    0.00     3  ksoftirqd/3
18时12分57秒     0        34    0.00    0.00    0.00    0.00     1  khungtaskd
18时12分57秒     0        39    0.00    0.00    0.00    0.00     0  khugepaged
18时12分57秒     0       227    0.00    0.00    0.00    0.00     2  jbd2/sda10-8
18时12分57秒     0       261    0.00    0.00    0.00    0.00     3  systemd-journal
18时12分57秒     0       283    0.00    0.00    0.00    0.00     1  systemd-udevd
18时12分57秒   100       458    0.00    0.00    0.00    0.00     2  systemd-timesyn
18时12分57秒     0       525    0.00    0.00    0.00    0.00     0  wl_event_handle
18时12分57秒     0       787    0.00    0.01    0.00    0.01     2  rtsx_usb_ms_1
18时12分57秒     0       827    0.00    0.00    0.00    0.00     3  ModemManager
18时12分57秒   106       832    0.03    0.00    0.00    0.03     2  dbus-daemon
18时12分57秒     0       845    0.00    0.00    0.00    0.00     0  systemd-logind
18时12分57秒     0       851    0.00    0.00    0.00    0.00     0  snapd
18时12分57秒     0       853    0.00    0.00    0.00    0.00     0  cron
18时12分57秒   104       854    0.00    0.00    0.00    0.00     2  rsyslogd
18时12分57秒     0       855    0.00    0.00    0.00    0.00     2  accounts-daemon
18时12分57秒   111       861    0.00    0.00    0.00    0.00     0  avahi-daemon
18时12分57秒     0       866    0.00    0.00    0.00    0.00     0  acpid
18时12分57秒     0       922    0.00    0.00    0.00    0.00     0  bluetoothd
18时12分57秒     0       933    0.00    0.01    0.00    0.01     0  irqbalance
18时12分57秒     0       949    0.00    0.00    0.00    0.00     2  lightdm
18时12分57秒     0       960    0.00    0.00    0.00    0.00     0  polkitd
18时12分57秒     0       985    0.00    0.00    0.00    0.00     1  wpa_supplicant
18时12分57秒     0       989    0.90    0.46    0.00    1.37     2  Xorg
18时12分57秒     0      1084    0.00    0.00    0.00    0.00     2  lightdm
18时12分57秒   118      1134    0.00    0.00    0.00    0.00     2  rtkit-daemon
18时12分57秒   109      1167    0.00    0.00    0.00    0.00     2  whoopsie
18时12分57秒  1000      1197    0.00    0.00    0.00    0.00     2  systemd
18时12分57秒  1000      1244    0.00    0.00    0.00    0.00     3  gnome-keyring-d
18时12分57秒  1000      1266    0.00    0.00    0.00    0.00     1  upstart
18时12分57秒 65534      1342    0.00    0.00    0.00    0.00     3  dnsmasq
18时12分57秒  1000      1405    0.02    0.00    0.00    0.03     3  dbus-daemon
18时12分57秒  1000      1418    0.00    0.00    0.00    0.00     1  window-stack-br
18时12分57秒  1000      1421    0.00    0.00    0.00    0.00     3  upstart-udev-br
18时12分57秒  1000      1446    0.00    0.00    0.00    0.01     1  upstart-dbus-br
18时12分57秒  1000      1447    0.00    0.00    0.00    0.00     0  upstart-dbus-br
18时12分57秒  1000      1449    0.00    0.00    0.00    0.00     1  upstart-file-br
18时12分57秒  1000      1464    0.01    0.00    0.00    0.01     3  fcitx
18时12分57秒  1000      1536    0.00    0.00    0.00    0.00     1  gpg-agent
18时12分57秒  1000      1606    0.01    0.00    0.00    0.02     2  bamfdaemon
18时12分57秒  1000      1607    0.00    0.00    0.00    0.00     2  dbus-daemon
18时12分57秒  1000      1616    0.00    0.00    0.00    0.00     0  at-spi-bus-laun
18时12分57秒  1000      1621    0.00    0.00    0.00    0.00     1  dbus-daemon
18时12分57秒  1000      1625    0.00    0.00    0.00    0.00     0  gvfsd
18时12分57秒  1000      1626    0.00    0.00    0.00    0.01     1  at-spi2-registr
18时12分57秒  1000      1636    0.01    0.00    0.00    0.01     1  hud-service
18时12分57秒  1000      1639    0.00    0.00    0.00    0.01     0  unity-settings-
18时12分57秒  1000      1652    0.00    0.00    0.00    0.00     2  gnome-session-b
18时12分57秒  1000      1669    0.06    0.00    0.00    0.06     2  unity-panel-ser
18时12分57秒     0      1671    0.00    0.00    0.00    0.00     2  upowerd
18时12分57秒  1000      1759    0.00    0.00    0.00    0.00     2  indicator-messa
18时12分57秒  1000      1761    0.00    0.00    0.00    0.00     0  indicator-bluet
18时12分57秒  1000      1766    0.00    0.00    0.00    0.00     0  indicator-power
18时12分57秒  1000      1770    0.00    0.00    0.00    0.00     3  indicator-datet
18时12分57秒  1000      1772    0.00    0.00    0.00    0.00     1  indicator-keybo
18时12分57秒  1000      1773    0.00    0.00    0.00    0.00     0  indicator-sound
18时12分57秒  1000      1774    0.00    0.00    0.00    0.00     0  indicator-print
18时12分57秒  1000      1777    0.00    0.00    0.00    0.00     2  indicator-sessi
18时12分57秒  1000      1793    0.01    0.00    0.00    0.01     3  indicator-appli
18时12分57秒  1000      1808    0.00    0.00    0.00    0.00     0  evolution-sourc
18时12分57秒  1000      1813    0.00    0.00    0.00    0.01     0  pulseaudio
18时12分57秒  1000      1829    0.00    0.00    0.00    0.00     2  notify-osd
18时12分57秒  1000      1835    0.00    0.00    0.00    0.00     1  dconf-service
18时12分57秒   113      1838    0.00    0.00    0.00    0.00     0  colord
18时12分57秒  1000      1877    0.01    0.00    0.00    0.01     3  nautilus
18时12分57秒  1000      1879    0.01    0.00    0.00    0.01     1  gnome-software
18时12分57秒  1000      1880    0.00    0.00    0.00    0.00     1  unity-fallback-
18时12分57秒  1000      1888    0.06    0.01    0.00    0.07     0  nm-applet
18时12分57秒  1000      1898    0.00    0.00    0.00    0.00     1  polkit-gnome-au
18时12分57秒  1000      1906    1.10    0.22    0.00    1.32     3  compiz
18时12分57秒  1000      1911    0.00    0.00    0.00    0.00     0  gvfs-udisks2-vo
18时12分57秒     0      1925    0.02    0.00    0.00    0.02     3  udisksd
18时12分57秒  1000      1928    0.00    0.00    0.00    0.00     0  evolution-calen
18时12分57秒     0      1937    0.00    0.00    0.00    0.00     1  fwupd
18时12分57秒  1000      1941    0.00    0.00    0.00    0.00     0  gvfs-goa-volume
18时12分57秒  1000      1948    0.00    0.00    0.00    0.00     1  gvfs-afc-volume
18时12分57秒  1000      1954    0.00    0.00    0.00    0.00     0  gvfs-gphoto2-vo
18时12分57秒  1000      1964    0.00    0.00    0.00    0.00     1  syndaemon
18时12分57秒  1000      1972    0.00    0.00    0.00    0.00     2  gvfs-mtp-volume
18时12分57秒  1000      1988    0.02    0.00    0.00    0.02     3  fcitx-qimpanel
18时12分57秒  1000      1997    0.00    0.00    0.00    0.00     0  gvfsd-trash
18时12分57秒  1000      2014    0.00    0.00    0.00    0.00     2  evolution-calen
18时12分57秒  1000      2024    0.00    0.00    0.00    0.00     0  evolution-calen
